idx,answer
25,"""헌혈 20번 프로젝트""

대학에 입학하면서 우연한 기회에 헌혈에 대한 정보를 접하게 되었습니다. 저희 학교 앞에 있는 헌혈의 집에 친구를 따라 갔다가 갑작스럽게 세운 목표는 '헌혈 20번 프로젝트' 였습니다. 처음 헌혈을 하게 된 후, 학생이라는 신분에서 남에게 베풀 수 있는 가장 좋은 방법이라고 생각을 했습니다. 그래서 이를 잘 활용하고 싶다는 생각을 했고, 목표를 세우게 되었습니다. 학교를 다니면서 졸업 할 때까지, 매년 4번 이상 헌혈을 하겠다는 목표이자 혼자만의 장기 프로젝트를 시작하게 되었습니다.

이 목표를 달성하기 위해서는 건강이 전제 되어야 했습니다. 그래서 바쁜 일상 속에서도 운동을 놓칠 수 없었습니다. 물론 시간이 부족하고 버거운 상황이 있을 때도 있었습니다. 하지만 24시간이 모자란 상황 속에서도 쉬고 싶다는 유혹을 뿌리치고, 목표를 달성하기 위해 시간 단위로 계획을 세우면서 남들보다 하루를 알차게 활용하려고 노력했습니다. 그 결과, 졸업 하기 전까지 총 20번의 헌혈을 하였고, 저의 장기 프로젝트는 성공적으로 마무리 되었습니다.아쉬운점 1

처음에는 남에게 베풀고 싶다는 마음에서 시작한 프로젝트였지만, 저 스스로도 배우고 얻은 점이 많았습니다. 또한, 큰 성취감을 느끼면서 어떤 일이든 할 수 있다는 자신감과 끈기를 얻을 수 있는 좋은 기회였습니다.
아쉬운점 2"
26,"대학에서 강의를 수강하며 배운 전공지식이 실제 직무에서는 어떻게 적용되고 활용되는지 궁금하였습니다. 그래서 직무를 경험해보는 것을 목표로 ****이라는 자동차부품회사에 인턴을 지원하였습니다.

품질부서로 배정받아 주어진 일은 단순한 서류작업과 복사 스캔과 같은 심부름이었습니다. 하지만 낙심하지 않았고 실제 직무를 경험하기 위해서는 업무에 열정을 보여줘야 한다고 생각하여 어떻게 열정을 보여줄지 생각하였습니다. 업무에 책임감을 가지고 있는 것으로 열정을 보여주고 싶었습니다. 주어지는 일을 끝까지 해내 보겠다는 끈기를 발휘하였습니다. 그래서 주어진 일이 밀리지 않도록 하였습니다.

일이 밀리지 않게 하려고 일을 우선순위로 처리하도록 노력하였습니다. 포스트잇이나 다이어리를 활용하여 마감 시간 기준으로 우선순위를 메모했지만, 메모가 없어지거나 깜빡하고 다이어리를 확인하지 못하는 상황이 발생하여 효과를 보지 못하였습니다. 그래서 Outlook의 예약 메일을 활용하였습니다. 메일은 자주 확인하고 또한 알림 기능이 있어 마감 시간을 놓치지 않게 해주었습니다. 이렇게 하여 업무시간을 낭비하지 않았고 마감 시간 안에 업무를 끝내서 남는 시간은 주변 인턴들의 일을 도와줄 수도 있었습니다. 그 결과 ‘성실하네.’라는 말을 자주 듣게 되었고 주변 인턴들이 이 방법을 따라 하여 팀 전체에 도움이 될 수 있었습니다.

그렇게 한 달 정도 끈기 있게 일을 해나갔더니 MD차종 모터의 불량원인을 찾는 프로젝트에 참관할 수 있었습니다. 모터의 이송 시 발생하는 충격이 불량원인으로 판명되었고 이 과정에서 고체역학과 유한요소해석과 같은 전공지식이 활용되는 것을 알 수 있었습니다. 또한, PS모터 소음 진동 TFT활동에도 참여하였습니다. 신제품인 PS차종의 모터의 소음과 진동 수준을 낮추는 것이 목표였습니다. 이 프로젝트에서는 모터의 소음과 진동을 측정하는 NVH 검사를 직접 해볼 수 있었고 여기에는 진동역학과 같은 전공지식이 활용됨을 알 수 있었습니다. 이와 같은 활동으로 전공지식이 실제 직무에서 어떻게 활용되는지 체험할 수 있었습니다."
27,"""컬처 학생기자단 단장""

대학교 2학년 때 컬처 학생기자단에 단장을 수행했습니다. 처음으로 교내 조직에서 리더를 처음 맡았고 첫 단추는 잘 끼우는 것이 중요하다고 생각했습니다. 컬처 학생기자단을 하면서 가장 어려웠던 점은 운영 프로세스를 만들면서 글쓰기 실력과 피드백 실력을 향상시키는 것이었습니다.

컬처 학생기자단은 처음 만들어져서 운영지침이나 시스템이 없었습니다. 그래서 피드백을 어떻게 할 것인지와 사업단에 제출할 양식을 어떻게 만들어야 하는지에 대해 고민이 많았습니다. 팀 회의에서 카페를 통해 지속적인 피드백을 하기로 정했습니다. 카페를 만들 때 기자단 팀원 별로 세분화를 시켰고 월별로 분류했습니다. 전체 공지사항에는 기사 마감시한과 변경사항을 올렸습니다. 사업단 제출양식은 파일에 본인의 이름을 적고 그 안에 기사가 구성되게 했습니다. 기사 파일양식을 인터뷰, 행사 소개 글, 취재 기사로 나눴습니다. 그리고 기사제목을 적게 했습니다. 이러한 운영지침을 팀원들에게 설명했습니다.

글쓰기 실력을 늘려야 제대로 된 피드백을 통해서 팀원들의 기사를 향상시킬 수 있다고 생각했습니다. 그래서 잘하는 팀원의 기사를 지속적으로 보면서 부족했던 점이 무엇인지를 생각했고 보완하기 위해 잘 쓴 기사와 제가 쓴 기사를 비교했습니다. 그리고 표현이 명확했는지 문장이 논리적이었는지 검토를 했습니다. 10월 기사를 제출한 후 저희 기자단의 기사가 부족하다는 말을 들었습니다. 기사 피드백을 처음 할 때 교수님이 학생의 색다른 관점은 살리면서 피드백을 하라고 말했습니다. 하지만 그렇게 피드백을 하니 10월에 제출한 기사는 문맥이나 논리성이 제대로 보이지 않았습니다. 그래서 자유분방함은 추구하되 본인의 생각은 구체적이고 논리적으로 서술하게 했습니다.

그 결과 11월 기사에서는 피드백에 대한 비판이 없었고 저희 팀이 기사 실력이 향상됐다는 평을 들었습니다. 이런 경험을 통해 초창기에 체계를 정확한 분석력을 통해 잘 만드는 것이 좋은 결과물로 이어진다는 것을 배웠습니다."
28,"[사용자 맞춤형 데이트 코스 추천 어플리케이션: 00]
00는 빅 데이터와 데이터마이닝을 접목해 사용자 성향을 분석 후 맞춤형 데이트 코스를 추천해주는 어플리케이션입니다. 데이트를 하기 위해 그 지역의 명소를 검색해보면 대다수가 광고성 글이라서 진위여부를 판단하기 어려운데다 다른 사람들이 설계해놓은 코스를 보면 취향에 맞지 않은 경우가 많아서 결국 직접 일일이 찾아보고 설계하는 경우가 많습니다.
좋은점 1
이를 좀 더 편하고 각자의 취향에 맞게 코스를 설계해주는 서비스를 만들어보자 하는 취지에서 시작하게 되었습니다. 조 회의 시간에 브레인 스토밍을 통해 여러 아이디어를 내었고, 가장 필요성을 느끼고 참신한 것으로 고르자라는 결정 하에 제가 안건을 낸 00가 선택되었습니다. 대규모 프로젝트라 타 프로젝트에 비해 개발 이슈가 많았고 의견 조율 등이 더 어려웠지만 배려하는 자세와 더불어 도움이 필요한 조원이 있으면 적극적으로 나서서 도와 준 덕에 큰 트러블 한 번 나지 않았습니다.

또한 개발 과정에서 기술적으로 어려운 부분이 있었고 아이디어가 구체화되지 않아서 발생하는 문제점들이 있었는데, 조원들끼리 수시로 회의를 열어 아이디어에 대한 논의를 하였고 차선책을 생각해냈습니다. 이러한 노력 끝에 무사히 개발을 완료할 수 있었고, **대학교에서 주최하는 LINC사업단 시상식에서 아이디어 상을 받을 수 있었습니다.

또한 저는 항상 일을 좀 더 효율적으로 할 수 있는 방법이 없을까 생각합니다. 아르바이트를 할 때도 기존의 물건의 위치를 바꾸어 동선을 편리하게 하였습니다. 한 번 물건의 위치가 정해지면 사람들은 거기에 익숙해져서 쉽게 바꾸려고 생각하지 않습니다. 제가 바꾸고 난 뒤로 같이 일하시는 분들 모두가 편리하다며 좋아하셨습니다.

회의 시간이 되면 부끄러워하지 않고 아이디어를 내는 것에 적극적입니다. 다소 엉뚱하다 생각되는 의견도 다듬고 수정을 거치면 좋은 의견이 될 때가 많습니다. 한솔 그룹에 입사해서도 새롭고 가치 있는 서비스를 만들기 위해 노력하겠습니다.아쉬운점 1"
29,"저의 장점은 다른 사람의 입장을 잘 고려하는 점입니다.
모교 홍보대사로서, 학교를 방문하는 고등학생들이 가장 필요로 한 일이 무엇인지를 생각하고 행동하였을 때, 교내 방문을 했던 고등학생 부모님으로부터 학교를 통해 감사의 뜻을 전달받은 경험이 있습니다.
골프클럽에서 근무할 때 역시, 고객들을 유심히 살펴 불편한 점이 있는 고객이 있는지 생각해보고, 어떻게 해결해 줄 수 있을지 생각하며 행동하였습니다. 덕분에 늘 새로운 손님을 맞는 직업 특수성에도 불구하고 즐거운 근무를 할 수 있었습니다.아쉬운점 1
저의 단점은 상대방의 입장을 고려한 행동이 자칫 지나쳐서 부담스럽게 느껴지기도 한다는 점입니다. 진에어를 이용하시는 손님들께 과잉 친절로 보이지 않기 위해 노력하되, 장점을 더욱 살려 친절하고 세심한 지니가 되겠습니다.아쉬운점 2

""최선을 다하는 삶"" 문구는 제 삶의 모토입니다. 아무리 상황이 좋아보여도 마지막 순간까지 끝난 것이 아니기에 자만하지 않아야하고, 역으로 아무리 희망이 없어보이는 상황에서도 최선을 다한다면 끝나는 순간의 상황은 달라질 수 있다는 믿음이 있기 때문입니다. 긍정과 근면을 갖춘, 사려 깊은 지니가 되겠습니다."
30,"OOOO공사에서 1년 6개월여간 지적측량을 수행하여 경계 및 분할, 확정측량을 하였으며 TOSS 및 SIP 프로그램을 이용하여 결과도 및 성과도를 작성하여 시청과 고객에게 제공하였습니다. 

졸업 전에는 엔지니어 회사에서 6개월여간 측량 및 CAD를 이용하여 체육공원조성 및 공장용지, 용인묘지공원, 도시계획도로 설계에 참여하였습니다.

또한, 부동산에 관련하여 대학재학 시 SWOT 분석을 이용한 부동산리모델링, CAD를 이용한 특정 지역의 상권분석 프로젝트를 진행한 경험이 있습니다.

기억에 남는 경험으로 지적공사에서의 지적측량과 엔지니어 회사에서의 토목설계에 따른 지장물조사입니다. 

엔지니어링 회사에서 했던 맡았던 역할 중 대표적으로 수지 레저공원과 용인묘지공원, 용인대 입구 도로 보도블록 재정비, 포곡읍 도시계획도로 등 실측으로 이루어진 데이터로 CAD를 이용하여 토목설계작업을 하였습니다.

포곡읍 도시계획도로 설계 당시에는 실측과 더불어 건축폐기물 수량산출과 지장물조서를 꾸미는 것을 전담하였습니다. 

OOOO공사에 이직 후 1년 6개월여간 근무하면서 3인 1개 조로 고객의 의뢰에 맞춰 대부분 하루 3~4건의 현장을 나갔습니다. 

현장에서 지적현황측량과 경계측량, 아파트 단지를 건설현장에서의 확정측량 등을 하였고 현장에서 관측된 값을 CAD와 유사한 대한지적공사 고유 프로그램을 이용하여 정리하여 소관청에 자료를 보내고 결과도 및 결과부를 작성하여 의뢰한 고객에게 발급하는 업무를 담당하였습니다.

학문으로만 접했던 도시계획과 토지에 관한 사항을 현장에 나가 실제 측량을 하고 설계를 하며 몸으로 부딪히면서 부동산과 토지에 관한 가치와 견해 그리고 개발방향을 생각하는 상상력이 생겨났습니다."
31,"""사람을 알고, 일을 알고, 함께라는 의미를 실천하는 알곡이""

하고자 하는 일은 꼭 해봐야 하는 성격입니다. ‘안 하고 후회하는 것보다, 하면서 즐기고 배우자’라는 말을 가슴속에 기억하고 살고 있습니다. 좋은점 1"
32,"[경기신용보증재단 신한은행과 기술금융 보증지원 업무협약 체결]

도내 기업의 성공적인 발전과 지역경제 활성화를 견인하는 경기신보가 보증기관 최초로 금융기관 특별출연을 통한 기술금융 지원에 나섰다는 8월달의 기사는 경기신보의 설립취지에 맞는 행보입니다.

이 협약을 통해 자금이 필요한 기술성 우수 기업에 대한 지원으로 기업은 자금을 지원받을 수 있고 경기신보는 상생과 동반성장, 창조경제를 이끄는 보증기관이 될 것이라 생각됩니다. 이런 기술 금융 지원 협약과 보증료를 0.2퍼센트 인하해 기업의 부담을 줄여주는 모습은 전국의 기술은 우수하지만 어려움을 겪고 있는 기업들이 경기도에 모여들어 경기도를 작지만 내실 있는 기업의 중심지로 탈바꿈해 대한민국의 중심 도 경기도가 될 수 있을 거라 생각합니다.좋은점 1

또한, 이런 시중은행과 협약의 영역을 넓히고 신한은행 외에 다른 은행들과의 협력을 확장해 자금조달이 쉽지 않은 중소기업인이나 소상공인에게 숨통을 틔워주면 경기도, 결국에는 대한민국의 발전이 될 것으로 생각합니다.아쉬운점 1"
33,"[RSS 통한 관심 요약 기사와 자료 웹 애플리케이션 ]

2016년 01월부터 04월까지 3개월간 개인 프로젝트를 진행한 적이 있습니다.
최근에 RSS에 관심을 가지게 되었고 RSS를 통해 가져온 관심 주제 기사를 문단 요약 알고리즘에 적용하여 효율적으로 기사의 핵심만 볼 수 있는 ""요약 기사 서비스""를 개발하였습니다. 팀 프로젝트가 아닌 개인 프로젝트였기 때문에 중간에 나태해질 수도 있었지만 한 시작하면 끝까지 해결하고 싶은 성격이었기 때문에 끈기있게  도전하여 완성하였습니다.

프로젝트를 본격적으로 진행하기 전에 개인프로젝트 이기 때문에 기획, 조사 등 모든 것은 직접 하였습니다.
프로젝트를 진행하면서 spring framework로 개발하였고 RSS 정보는 JAVA 라이브러리인 Jsoup를 활용하여 가져와 보기 편하게 가공하였습니다.

가져온 정보를 그대로 보여주는 것보다 중요한 핵심만 보여주는 것이 바쁜 현대인에 맞는다고 생각하여 개인적으로 아이디어를 내어 문단 요약 알고리즘을 코딩해봤습니다.

JAVA에 있는 Map 등 Collection을 활용하여 기사 제목과 내용에 있는 단어 빈도수를 조사한 후 빈도수가 높은 단어가 많이 포함되는 있는 문단이 중요하다고 생각하여 문단 우선순위를 주었습니다."
34,"구성원들 간의 목적이 상이하여 갈등이 발생한 경험이 있습니다. 이를 해결하기 위해 공동의 목적을 만들어 협동심을 고취시키고 공동의 목적을 달성하는 과정에서 각자의 목표도 이룰 수 있도록 하여 갈등을 해결했습니다.

해외의 물류학 전공자들과 4박 5일 간 교류하며 싱가포르 항만공사를 견학하는 워크샵 프로그램에 참여한 경험이 있습니다. 이 프로그램의 최종 과제로서 일본, 중국, 인도, 러시아 등 다양한 국가에서 온 학생들과 무작위로 팀이 되어 물류 프로젝트를 만들어 발표해야 했습니다. 

하지만 관광, 언어, 물류 등 다양한 관심사를 갖고 있어서 의견합치가 어려웠습니다. 팀원들은 각자의 목적에 따라 행동했고, 팀 프로젝트는 진전이 없었습니다. 이 문제를 해결하기 위해서는 모두의 목표를 충족할 수 있는 주제를 선정해야 했습니다. 저는 해결책으로 싱가폴 대학탐방을 제시 했습니다."
35,"저는 신한데이타시스템의 지속 가능한 인재로 성장할 수 있는 두 가지 역량이 있습니다. 

첫 번째, IT 전공자로서 충실하였습니다. IT구성원이 갖추어야 하는 다양한 역량 중에서 가장 중요하다고 생각한 것은 IT 기초 역량이라 생각했기 때문입니다. 학부과정을 통해 Database, C. Java 등 기본적인 다양한 전공기술들을 수강하였고 배운 것을 복습하는 의미로 정보처리 기사 자격증을 취득하였습니다. 

또한 oo취업아카데미 교육을 통하여 Spring Framework를 사용해 공연 예매 서비스를 주제로 ‘뮤지컬과 연극사이’라는 프로젝트를 진행하였습니다. 

두 번째, QA인턴을 활동을 진행하며 품질 향상 능력을 키웠습니다. 품질보증 경험은 저에게 사용자 입장으로 프로그램을 생각하게 만들며 더 좋은 IT서비스가 무엇인지 배우게 되었습니다. 그 후 프로그램을 개발할 때는 정확하고 안정된 프로그램을 제공하기 위해 꼼꼼하게 프로그래밍 하며 반복적으로 잘 못된 부분이 없나 확인하는 자체 QA 테스트를 진행하며 최고 품질의 서비스를 제공하기 위해 노력하고 있습니다."
36,"*** 연구소인턴 당시 Metallic소재에 관한 시장조사과제를 맡았습니다. 과제에 앞서 먼저 소재에 대한 정확한 분석이 선행되어야 한다고 생각하여 논문과 서적, 특허를 참고해 소재를 면밀히 분석했습니다.

소재의 문제점을 중점으로 조사한 그 자료를 과장님께서 보시곤 “연구소 교육 자료로 쓸 만큼 꼼꼼하게 잘했다.”고 놀라시며 더욱 많은 자료조사를 요청하셨고, 업무 경험과 자신감을 더욱 쌓았습니다. 또한, 최종 발표에서는 이를 바탕으로 개발소재의 개선점까지 제시하였고, R&D 부서에서 검토해보겠다는 의견도 들을 수 있었습니다."
37,"초중고 시절 적극적이고 활발한 학생이었던 저는 길어진 대입 수험생활로 자존감이 낮고 소극적인 청년으로 변했습니다. 남들과 잘 어울리지 않았고 혼자 모든 것을 하려고 하였습니다. 이러한 성격에서 벗어나고 제 자신을 변화시키고자 ‘self-planning, self-acting!'이라는 모토의 OOOO 봉사단을 시작했습니다. 이 봉사단은 대학생들이 팀별로 봉사 및 예산 기획부터 실행까지 자발적으로 하는 차별화된 활동이었습니다. 'self'라는 모토는 스스로의 변화를 추구하던 저에게 전환점이었습니다. 봉사를 기획한다는 것이 쉬운 일은 아니었지만 여러 가지 아이디어도 내고, 예산관리 업무를 자청하여 도맡아하며 열정적으로 참여했습니다. 매월 바쁜 일정 속에서도 성실하고 열정적으로 저의 임무를 다 하였고 그 결과 8개월의 활동 후 최우수 단원으로 선정되었습니다. 아쉬운점 18개월간의 활동은 저에게 큰 성취감을 가져다주었고 스스로에게 갇혔던 현재에서 진정한 '나'의 미래로 도전할 수 있는 계기가 되었습니다.
무언가에 부딪힐때마다 그것을 극복하기 위해 도전하고 변화를 추구하는 사람이며 앞으로도 변화를 통해 스스로 성장할 수 있는 인재로 성장해나가겠습니다.아쉬운점 2"
38,"제가 경험한 혁신은 ‘지문인식’입니다.

초기 스마트폰이 개발되었을 당시 휴대폰의 잠금 방식으로는 크게 비밀번호, 패턴 두 가지 방법이 존재했습니다. 하지만 이는 주인이 아닌 다른 사람이 그 휴대폰의 비밀번호나 패턴을 아는 경우 잠금 해제가 손쉽게 가능하여 강력한 보안과는 거리가 먼 잠금장치였습니다. 그 뒤로 전면 카메라를 통한 홍채인식이 나왔을 때, 예전보다 보안이 강력해졌다고 느꼈지만, 오류로 인해 다른 사람의 홍채로도 잠금이 해제되는 경우도 존재했고 무엇보다 가장 중요한 편리성에서 매우 떨어져 기능이 존재함에도 사람들이 많이 사용하지 않았습니다. 저 또한 위에서 언급한 잠금 방식들이 모두 번거롭고 귀찮다는 생각에 잠금 기능을 사용하지 않고 휴대폰을 사용할 정도로 기능이 불편했습니다.

하지만 그 이후로 나온 지문인식은 저에게 있어 정말 큰 혁신이었습니다.
지문을 통한 보안의 방식은 전혀 생각지도 못한 방법이었고 유일하게 자신만을 식별하는 보안 장치였으며 손가락을 잠시 터치하면 인식이 되는 시스템으로 매우 편리하였습니다.
모바일 보안 장치로서 계속해서 사용하고 있으며 그 활용도가 점점 증가하는 지문인식 기능은 이제 없어서는 안 될 존재가 되었습니다.
모바일 뱅킹을 이용할 때에도, 특수기호 및 영문, 숫자를 모두 포함해야 했던 예전의 불편한 기능에서 지문을 이용한 간단한 본인 인증은 번거롭다고만 느껴졌던 금융 서비스를 생활 속의 편리한 기능 중 하나로 자리 잡게 해주었습니다.

혁신적인 기능이란, 한 분야에서 머물지 않고 다른 여러 분야에서 이용할 수 있으며 편리성의 측면에서 효율이 뛰어나고 보안성의 측면에서 강력한 효과를 발휘해야 한다고 생각합니다.
휴대폰 잠금 해제 기능 중 하나였던 지문인식이 이제는 본인인증 기능 중 하나로 자리매김하여 금융에서도 활용되는 것을 보며 요즈음 가장 혁신적인 기능으로 선택되기에 부족함이 전혀 없다고 생각합니다.좋은점 1"
39,"[ 시각을 바꿔야 문제를 바꿀 수 있다 ]
2013년도 계절학기 수업 중 남학생 휴게실에 대한 조별 발표를 했습니다. 여학생 휴게실, 남학생 휴게실 모두 있지만 남학생 휴게실은 거의 이용되지 않았습니다. 그 이유가 궁금해졌고, 문제점을 찾아서 개선시킨다면 남학생들의 학교생활 만족도를 높일 수 있을 것이라는 생각이 들어 이 주제를 택했습니다. 

먼저 본교에서 남학생 30명을 무작위로 선발해 설문조사를 실시했습니다. 그리고 이용률이 높다고 알려진 **대학교와 ***대학교에 방문해 같은 방식으로 설문을 실시했습니다. 비교•분석한 결과 본교의 경우, 휴게실 존재 여부에 대해 ‘알고 있다’고 응답한 비율이 가장 낮았고, 알고 있더라도 위생 상태가 좋지 않아 이용하지 않는 경우가 대부분이었습니다. 결과를 바탕으로 개선 방안에 대한 소논문을 작성해 제출했고, 가장 높은 점수를 받았습니다. 

남학생 휴게실을 실제로 개선시키기 위해 총학생회를 찾아갔지만, 급한 현안들로 인해 신경 쓸 겨를이 없다는 대답만 들어야 했습니다. 그러나 포기하지 않고, 할 수 있는 일부터 직접 개선해 나가자고 의견을 모았습니다. 

먼저 남학생 휴게실의 위치가 적힌 종이를 남자 화장실과 게시판에 붙여 두었고, 남학생들이 없는 시간을 틈타 휴게실 청소를 하기도 했습니다. 한 달 후, 총학생회를 다시 찾아가 관리를 통해 휴게실 이용률을 높일 수 있었다는 점을 근거로 들면서 저희의 제안을 재고해줄 것을 요구했습니다. 

얼마 후, 총학생회의 지도 아래 남학생 휴게실의 위치가 적힌 종이가 층별 시설 안내도 옆에 새로 부착되었습니다. 또한 교내 환경미화원 분들이 맡아 주시면서 남학생 휴게실이 깨끗하게 운영될 수 있었습니다.

모두가 ‘원래 그렇다’며 관심 갖지 않을 때, ‘바꿀 수 있다’며 시도했기에 이러한 성과를 이룰 수 있었다고 생각합니다. 이처럼 같은 현상일지라도 다르게 바라보는 시각에서 도전이 시작되고 혁신이 나온다고 생각합니다. 저만의 특별한 ‘안목’을 이용해 올리브영만의 차별화된 경쟁력을 만들 수 있는 MD가 되겠습니다."
40,"무역회사에서 일하며 작은 일도 스스로 찾아 하려고 했던 적극성 덕분에 학업을 위해 그만두던 때에 예상치 못한 성과보수를 받은 경험이 있습니다. 오픈마켓 주문 B/L 및 invoice를 출력하고, 물류 대행업무를 관리하는 업무를 맡았습니다.

그러나 운송차량 도착시각인 5시까지 물건을 실어야 하는 물류센터 직원들의 일손이 부족하다는 것을 알게 되어 3~4시까지 업무를 최대한 마친 후, 작은 제품의 포장 작업을 하며 직원들을 도왔습니다. 덕분에 담당 부서 외의 업무를 경험하며 전체 프로세스를 쉽게 이해할 수 있었습니다.

또한, 베트남으로 보낸 물류대행 `블라인드`가 운송 중 파손되어 고객이 강하게 불만을 제기한 적이 있었습니다. 고객의 포장 부주의로 인한 파손임을 인지한 저는 파손에 대한 사과 후, 올바른 포장작업을 직접 촬영하여 보내주었고 꼼꼼한 포장을 요청하였습니다.

이로 인해 고객도 포장방법을 다시 숙지하게 되어 문제를 원활히 해결하고 추후 파손도 막을 수 있었습니다. (주)대창에 입사하여 빠르게 회사의 프로세스를 이해하기 위해 힘쓰고 무역관리팀 외에 타 부서와도 유기적인 관계를 형성하여 효율적인 일 처리를 하겠습니다."
41,"[어려워서 더 값진 A+]
전공필수 과목 중 `역사학개론`이라는 과목이 있었습니다. 이 과목은 내용이 난해하고, 교수님의 평가기준이 높기로 유명했습니다. 대부분이 C+ 성적을 받는다는 소문이 있었습니다. 그래서 도전 의식이 생겼습니다. 전 학기 학점이 좋지 않아 또 C+를 받기는 싫었기에, 이 과목에서 반드시 A+를 받기로 결심했습니다.
명성에 걸맞게 수업 내용은 따라가기 매우 벅찼습니다. 한 마디도 제대로 알아듣지 못하고 강의실을 떠나는 날도 있었습니다. 스스로의 무지가 답답했고, 포기하는 학생들도 속출했습니다. 저도 포기를 고려했지만, 피할 수 없는 일이라면 견디고, 아예 즐기기로 결심했습니다.
매일 5시간 이상 관련 논문과 서적을 읽은 뒤, 저만의 언어로 이해하기 쉽게 변환했습니다. 후배들과 스터디를 구성해 공부한 내용을 공유하며 계속 복습했습니다. 그제서야 이 과목의 재미를 알게 되어 몰입할 수 있었습니다.
레포트 점수가 생각보다 낮게 나오고, 기말고사 때 전혀 예상치 못한 문제가 출제되어 좌절을 겪기도 했습니다. 하지만 몰입했기에 후회는 없었습니다.
결국은 이 과목에서 A+를 받을 수 있었습니다. 성적보다 값졌던 것은 어려움을 대하는 태도를 다시 배운 것입니다. 목표를 세우고, 목표를 달성하기 위해 사람들과 소통하고, 스스로를 담금질하는 과정을 통해 제가 어떠한 장애물도 넘을 수 있는 사람임을 확신하게 되었습니다.좋은점 1"
42,"""도로 위에선 내가 맥도날드의 얼굴이다""

OOOO에서 아르바이트하며 보이지 않는 곳에서도 항상 교통법규를 준수하고 양보운전을 실행한 경험이 존재합니다.
저는 오토바이에 시동을 거는 순간부터 항상 제가 OOOO의 얼굴이라는 생각을 하고 업무에 임했습니다. 물론 배송속도에 대한 고객들의 항의가 많아 정신적 고통을 겪기도 했습니다. 하지만 저는 도로 위에서의 OOOO의 이미지를 지키는 것이 더 가치 있다고 판단했습니다. 따라서 도로에서 최대한 남을 먼저 배려하려고 교통법규를 준수했습니다. 이런 마음가짐으로 운전을 수행한 결과 타 라이더와는 달리 매장에 운전불만으로 접수되는 VOC는 받아본 적이 없고, 오히려 다수의 칭찬 글을 받아본 경험이 있습니다.아쉬운점 1
GS리테일의 업무를 수행하면서도 분명 자신의 불리함과 정직함이 충돌하는 상황이 발생할 것으로 예상합니다. 순간의 거짓말로 자신의 이익을 지켜낼 수 있을지 몰라도 멀리 내다본다면 이러한 행위는 오히려 자신, 회사에 손해라고 생각합니다. GS리테일의 업무수행을 하며 지금껏 해온 것처럼 제가 GS리테일을 대표하는 얼굴이라 생각하고 정직하게 업무를 수행하겠습니다.아쉬운점 2"
43,"""남보다 뒤처졌다고 느낀 순간, 열정 만 한 것이 없다""

2학년 때부터 교내의 oooooo라는 야구동아리에서 활동한 기억이 있습니다. 야구에 대한 지식을 늘리고 싶었고 야구를 직접 해보고 싶다는 열정 하나만으로 동아리 생활에 도전하였습니다. 

첫 시합은 생각도 하기 싫을 만큼 최악이었습니다. 수비 부담이 적은 외야수였지만 낙구 지점을 잘 못 잡아 공을 펜스까지 굴러가도록 하기도 하고 심지어 수비를 하다가 같은 팀 외야수의 자신이 잡겠다는 말을 못 들어 부딪히는 사태까지 벌어졌습니다. 야구에 도전한 것에 대한 후회가 밀려왔습니다. 

하지만 여기서 그치지 않았습니다. 후회는 잠시, 처음부터 잘하는 사람이 어딨겠나라는 생각으로 동아리 선배들에게 많은 조언을 구했습니다. 수비할 때 위치 잡기, 그리고 타격감을 살리기 위해 어떤 연습을 해야 하는지 등 많은 노력을 기울였습니다. 게다가 필수 연습이 1주일에 한 번이었으나 열정 하나만으로 최소 이틀에 한 번은 연습을 하였습니다. 

그리고 oo대학교 총장 배 리그가 시작되었고 평소 연습하는 것을 많이 지켜보던 동아리 선배가 선발 명단에 올려주었습니다. ‘이번엔 처음과 다르다. 모든 것을 보여 주겠다’는 생각으로 온 정신을 집중했고, 첫 경기와 달리 수비 실수 없이 경기를 끝낼 수 있었고 타격에서도 3타수 1안타 1볼넷의 준수한 성적으로 그 경기를 마칠 수 있었습니다. 그 후에도 야구에 대한 열정과 하루하루 늘어가는 실력을 인정받아 선발 엔트리에 자주 이름 올릴 수 있었습니다."
44,"""완벽한 계획을 통한 기술의 지원""

건축공학과에 처음 입학해 들었던 많은 수업들에서 가장 많이 언급되었던 대한민국 건설기술의 대표작 중 하나는 항상 싱가포르의 '마리나 베이 샌즈'였습니다. 이를 통해 쌍용건설의 기술력에 대해 처음으로 접할 수 있었고 해외에서도 신뢰받는 기술력을 가진 이 회사를 동경하게 되었습니다. 그리고 비교적 최근에 여태까지의 국내외 건축물을 만들며 축적된 기술을 바탕으로 주택시장에도 뛰어들었다는 것을 알게 되었습니다. 주택시장은 보수적이고 많은 회사들이 자리를 잡고 있지만 쌍용건설의 기술력을 믿고있기에 무한한 발전 가능성이 있다고 생각합니다. 따라서 주택사업 부서에서 세계 최고 수준의 기술력을 발휘할 수 있도록 최선의 개발계획을 통해 지원하는 것이 저의 목표이며 쌍용건설에 지원한 이유입니다. 쌍용의 더 플래티넘이 국내 아파트 브랜드의 최상위권에 자리잡기 위한 길에 일원이 되어 기여하겠습니다.

""건설산업의 다양성에 눈을 뜨다"""
